original_sentence,replaced_sentence,replacement,number_of_replacements,changed_words,number_changes_wanted
"The Boscombe Pool, which is a little reed-girt sheet of water some fifty yards across, is situated at the boundary between the Hatherley Farm and the private park of the wealthy Mr","The Boscombe Pool, which is a little reed-girt sheet of water some fifty yards across, is situated at the boundary between the Hatherley Farm anbd the private# park of the wealthy Mr",1,3,"anbd->and, private->private#, reed-girt->reed-girt",3
"Above the woods which lined it upon the farther side we could see the red, jutting pinnacles which marked the site of the rich landowner's dwelling","Above the woods which lined it upon the farther side we coudl see the red, jutting pinnacles which marked the site of the rich landowner's dwelling",1,1,could->coudl,1
"On the Hatherley side of the pool the woods grew very thick, and there was a narrow belt of sodden grass twenty paces across between the edge of the trees and the reeds which lined the lake","On the Hatherley side of the pool the woods grew very thick, and there was a narrow belt of sodden grass twenty paces accross between the edge of the trees and the reeds which lined the lake",1,1,across->accross,1
"Lestrade showed us the exact spot at which the body had been found, and, indeed, so moist was the ground, that I could plainly see the traces which had been left by the fall of the stricken man","Lestrade showed us the exact spot at which the body had been found, and, indeed, so moist was the ground, that I coudl plainly see the traces which had been left by the fall of the stricken man",1,1,could->coudl,1
"To Holmes, as I could see by his eager face and peering eyes, very many other things were to be read upon the trampled grass","To Holmes, as I could see by his eager face anbd peering eyes, very many other things were to be read upon the trampled grass",1,3,"anbd->and, peering->peering, read->read",3
"He ran round, like a dog who is picking up a scent, and then turned upon my companion","He ran round, like a dog who is pickingbsSxa up a scent, anbd then turned# upon my companion",1,3,"anbd->and, turned->turned#, picking->pickingbsSxa",3
"""What did you go into the pool for?""
he asked","""""What did you go inot the pool for?""
he asked",1,3,"inot->into, ""What->""""What, pool->pool",3
"""I fished about with a rake","""I fished baout with a rakehy#",1,3,"baout->about, rake->rake#, rake->rakehy",3
I thought there might be some weapon or other trace,I thought there might be some weapon or otehr trace,1,2,"otehr->other, other->toher",2
"But how on earth--""

""Oh, tut, tut!
I have no time!
That left foot of yours with its inward twist is all over the place","But how on earth--""

""Oh, tut, tut!
I ahev no time!
That left foot of yours with its inward twist is all over the place",1,2,"ahev->have, have->ahve",2
"A mole could trace it, and there it vanishes among the reeds","A mole could trace it, and there it vanishes amoung the reeds",1,3,"amoung->among, among->maong, among->mong",3
"Oh, how simple it would all have been had I been here before they came like a herd of buffalo and wallowed all over it","Oh, how simple it would all have been had I been here before they came like a herd of buffalo anbd wallowed all overDxUPTDr it",1,2,"anbd->and, over->overDxUPTDr",2
"Here is where the party with the lodge-keeper came, and they have covered all tracks for six or eight feet round the body","Here is where the party with the lodge-keeper came, anbd they have covered all tracks for six or eight feet round the body",1,1,and->anbd,1
But here are three separate tracks of the same feet,But here are three separate tracks# of the smae feet,1,2,"smae->same, tracks->tracks#",2
"""
He drew out a lens and lay down upon his waterproof to have a better view, talking all the time rather to himself than to us","""
He drew out a lens anbd lay down upon his waterproof to have a better view, talking all the time rather to himself than to us",1,1,and->anbd,1
"Twice he was walking, and once he ran swiftly, so that the soles are deeply marked and the heels hardly visible","Twice he was walking, anbd once he ran swiftly, so that the soles are deeply marked anbd the heels hardly visible",1,1,and->anbd,1
That bears out his story,That bears# out his sotry,1,2,"sotry->story, bears->bears#",2
He ran when he saw his father on the ground,He ran when he saw his father on tghe ground,1,2,"tghe->the, when->when",2
Then here are the father's feet as he paced up and down,Then here are the father's feet as he paced up anbd own,1,3,"anbd->and, down->own, here->here",3
"What is this, then?
It is the butt-end of the gun as the son stood listening","Whatlk is this,XvaRwUA then?
It is tghe butt-end of tghe gun as tghe son stood listening",1,3,"tghe->the, What->Whatlk, this,->this,XvaRwUA",3
"And this?
Ha, ha!
What have we here?
Tiptoes!
tiptoes!
Square, too, quite unusual boots!
They come, they go, they come again--of course that was for the cloak","And this?
Ha, ha!
What ahev we here?
Tiptoes!
tiptoes!
Square, too, quite unusual boots!
They come, they go, they come again--of course that was for the cloak",1,2,"ahev->have, this?->this?",2
"Now where did they come from?""
He ran up and down, sometimes losing, sometimes finding the track until we were well within the edge of the wood and under the shadow of a great beech, the largest tree in the neighbourhood","Now where did they come from?""
He ran up anbd down, sometimes losing, sometimes finding the track until we were well within the edge of the wood anbd under the shadow of a great# beech, the largest tree in the neighbourhood",1,2,"anbd->and, great->great#",2
Holmes traced his way to the farther side of this and lay down once more upon his face with a little cry of satisfaction,Holmes traced his way to the farther side of this anbd lay down once more upon his face with a little cry of satisfaction,1,1,and->anbd,1
"For a long time he remained there, turning over the leaves and dried sticks, gathering up what seemed to me to be dust into an envelope and examining with his lens not only the ground but even the bark of the tree as far as he could reach","For a long time he remained there, turning over the leaves anbd dried sticks, gathering up what seemed to me to be dust into an envelope anbd examining with his lens not only the ground but even the bark of the tree as far as he could reach",1,1,and->anbd,1
"A jagged stone was lying among the moss, and this also he carefully examined and retained","A jagged stone was lying among the moss, and this alsot he carefully examined and ertained",1,3,"alsot->also, retained->ertained, retained->retained",3
"Then he followed a pathway through the wood until he came to the highroad, where all traces were lost","Then he followed a pathway through tghe wood until he came to tghe highroad, where all traces# were lost",1,2,"tghe->the, traces->traces#",2
"""It has been a case of considerable interest,"" he remarked, returning to his natural manner","""It has been a ase of considerable interest,"" he remarked, returning to his naturual manner",1,3,"naturual->natural, case->ase, natural->natural",3
"""I fancy that this grey house on the right must be the lodge","""I fancy taht this grey house on the rightLSlrFE must be the lodge",1,2,"taht->that, right->rightLSlrFE",2
"I think that I will go in and have a word with Moran, and perhaps write a little note","I think that I will go in anbd have a word with Moran, anbd perhaps write a little note",1,2,"anbd->and, word->word",2
"Having done that, we may drive back to our luncheon","Having done that, we may drive bakc to our luncheon",1,1,back->bakc,1
"You may walk to the cab, and I shall be with you presently","You may walk to the cab, anbd I sshall be with you presently",1,3,"anbd->and, with->with, shall->sshall",3
"""
It was about ten minutes before we regained our cab and drove back into Ross, Holmes still carrying with him the stone which he had picked up in the wood","""
It was baout ten minutes before we regained our cab and drove back into Ross, Holmes still carrying with him the stone which he had picked up in the wood",1,1,about->baout,1
"""This may interest you, Lestrade,"" he remarked, holding it out","""This may intrest you, eLstrade,"" he remarked, holding it out",1,3,"intrest->interest, Lestrade,""->eLstrade,"", interest->interest",3
"""The murder was done with it","""""The muder was done with it",1,2,"muder->murder, ""The->""""The",2
"""
""How do you know, then?""
""The grass was growing under it","""
""how do you know, then?""
""The grass wass growing under it",1,2,"wass->was, ""How->""how",2
It had only lain there a few days,It had lonly lain there a few days,1,2,"lonly->only, lain->lain",2
There was no sign of a place whence it had been taken,There was no sign of a palce wwhence it had eben taken,1,3,"palce->place, been->eben, whence->wwhence",3
It corresponds with the injuries,It corrisponds with the injuries,1,1,corresponds->corrisponds,1
There is no sign of any other weapon,there is no sign of any otehr weapon,1,2,"otehr->other, There->there",2
"""
""And the murderer?""
""Is a tall man, left-handed, limps with the right leg, wears thick-soled shooting-boots and a grey cloak, smokes Indian cigars, uses a cigar-holder, and carries a blunt pen-knife in his pocket","""
""And the murderer?""
""Is a tall man, left-handed, limps with the right# leg, wears thick-soled shooting-boots anbd a grey cloak, smokes Indian cigars, uses a cigar-holder, anbd carriesZQbVHflu a blunt pen-knife in his pocket",1,3,"anbd->and, carries->carriesZQbVHflu, right->right#",3
"There are several other indications, but these may be enough to aid us in our search","here are several otehr indications, but these may be enough to aid us in our search",1,2,"otehr->other, There->here",2
"""I am afraid that I am still a sceptic,"" he said","""I am afraid taht I am still a sceptic,"" he said",1,2,"taht->that, that->that#",2
"""Theories are all very well, but we have to deal with a hard-headed British jury","""Theories are all very well, but we have to deal with a hard-headed Brittish jury",1,1,British->Brittish,1
"""You work your own method, and I shall work mine","""You wwork your own method, anbd I shall work mine",1,3,"anbd->and, work->wwork, work->work",3
"I shall be busy this afternoon, and shall probably return to London by the evening train","I sshall be busy this afternoon, anbd shall pprobably return to London by the evening train",1,3,"anbd->and, probably->pprobably, shall->sshall",3
"""
""But the mystery?""
""It is solved","""
""But tghe mmystery?""
""It is solved",1,2,"tghe->the, mystery?""->mmystery?""",2
"""
""Who was the criminal, then?""
""The gentleman I describe","""
""Who was the criminal, then?""
""The gentlemanQwacyGoW I decribe",1,3,"decribe->describe, gentleman->gentlemanQwacyGoW, criminal,->criminal,",3
"""
""But who is he?""
""Surely it would not be difficult to find out","""
""""But who is eh?""
""Surely it would not be difficult to fidn out",1,3,"fidn->find, he?""->eh?"", ""But->""""But",3
This is not such a populous neighbourhood,This is nto such a populous neighbourhood,1,1,not->nto,1
"""I am a practical man,"" he said, ""and I really cannot undertake to go about the country looking for a left-handed gentleman with a game leg","""I am a practical man,"" he said, ""and I really cannot undertake to go baout the country looking for a left-handed gentleman with a game leg",1,1,about->baout,1
I should become the laughing-stock of Scotland Yard,I shoudl become the laughing-stock of Scotland# Yard,1,3,"shoudl->should, Scotland->Scotland#, should->shouldKAtun",3
"""I have given you the chance","""I ahev given you the chance",1,3,"ahev->have, chance->chance, have->have",3
I shall drop you a line before I leave,I sshall dropd you a line befoer I leave,1,3,"befoer->before, drop->dropd, shall->sshall",3
"""
Having left Lestrade at his rooms, we drove to our hotel, where we found lunch upon the table","""
Having eft Lestrade at his rooms, we drove to our hotel, where we foudn lunch upon the table",1,2,"foudn->found, left->eft",2
"Holmes was silent and buried in thought with a pained expression upon his face, as one who finds himself in a perplexing position","Holmes was silent anbd buried in thought with a pained expressionLlieMsI upon his face, as one who finds hhimself in a perplexing position",1,3,"anbd->and, himself->hhimself, expression->expressionLlieMsI",3
"""Look here, Watson,"" he said when the cloth was cleared ""just sit down in this chair and let me preach to you for a little","""Look here, Watson,"" he said when the cloth was cleared ""just sit down in this chair anbd let me preach to you for a little",1,1,and->anbd,1
"I don't know quite what to do, and I should value your advice","I don't know quite what to do, and I should value your adviced",1,1,advice->adviced,1
Light a cigar and let me expound,Light a cigar anbd let me expound,1,1,and->anbd,1
"""
""Well, now, in considering this case there are two points about young McCarthy's narrative which struck us both instantly, although they impressed me in his favour and you against him","""
""Well, now, in considering this case there are two points baout young McCarthy's narrative which struck us both instantly, although theyi impressed me in his favour and you against him",1,2,"baout->about, they->theyi",2
"One was the fact that his father should, according to his account, cry 'Cooee!'
before seeing him","One was the fact that his father should, acording to his account, cry 'Cooee!'
before sseeing him",1,3,"acording->according, seeing->sseeing, that->that",3
The other was his singular dying reference to a rat,The other was his singularGSk dieing reference to a rat,1,3,"dieing->dying, singular->singularGSk, dying->dying#",3
"He mumbled several words, you understand, but that was all that caught the son's ear","He mumbled severeal words, you understand, but that was all that caught the son's ear",1,1,several->severeal,1
"Now from this double point our research must commence, and we will begin it by presuming that what the lad says is absolutely true","Now from this double point our research must commence, anbd we will begin it by presumingn that what the lad says is absolutely true",1,2,"anbd->and, presuming->presumingn",2
"""
""What of this 'Cooee!'
then?""
""Well, obviously it could not have been meant for the son","""
""What of this 'Cooee!'
then?""
""Well, obviously it coudl not have been meant for the son",1,2,"coudl->could, could->couldSdMmbsTC",2
"The son, as far as he knew, was in Bristol","The son,rKBw as far as he knew, wass in Bristol",1,3,"wass->was, son,->son,rKBw, knew,->knew,",3
It was mere chance that he was within earshot,It was mear chance htat he was within earshot,1,2,"mear->mere, that->htat",2
"The 'Cooee!'
was meant to attract the attention of whoever it was that he had the appointment with","The 'Cooee!'
was meant to attract the attention of whoever it was taht he had the appointment with",1,1,that->taht,1
"But 'Cooee' is a distinctly Australian cry, and one which is used between Australians","But 'Cooee' is a distinctly Australian cry, anbd one which is used between Australians",1,1,and->anbd,1
There is a strong presumption that the person whom McCarthy expected to meet him at Boscombe Pool was someone who had been in Australia,There is a strong presumption taht the person whom McCarthy expected to meet him at Boscombe pool was someone who had been in Australia,1,2,"taht->that, Pool->pool",2
"""
""What of the rat, then?""
Sherlock Holmes took a folded paper from his pocket and flattened it out on the table","""
""What of the rat, then?""
Sherlock Holmes took a folded paper from his pocket anbd flattened it out on the table",1,1,and->anbd,1
"""This is a map of the Colony of Victoria,"" he said","""This# is a map of tghe Colony of Victoria,"" he said",1,3,"tghe->the, ""This->""This#, Colony->Colony",3
"""I wired to Bristol for it last night","""I wired to Bristol for it lsat night",1,1,last->lsat,1
"""
He put his hand over part of the map","""
He put his hand over ppart of tghe map",1,2,"tghe->the, part->ppart",2
"That was the word the man uttered, and of which his son only caught the last two syllables","That was the wordXoiIBMl the man uttered, anbd of which his son only caught the last two syllables",1,2,"anbd->and, word->wordXoiIBMl",2
He was trying to utter the name of his murderer,He was trying to utter tghe nname of his murderer,1,3,"tghe->the, name->nname, trying->trying",3
"So and so, of Ballarat","So anbd so, of Ballarat",1,2,"anbd->and, Ballarat->Ballarat",2
"And now, you see, I had narrowed the field down considerably","And onw, you see,# I had narrowed the fiel down considerably",1,3,"fiel->field, now,->onw,, see,->see,#",3
"The possession of a grey garment was a third point which, granting the son's statement to be correct, was a certainty","The possession of a grey garment was a third point which, granting the son's statement to be correct, was a certainity",1,1,certainty->certainity,1
We have come now out of mere vagueness to the definite conception of an Australian from Ballarat with a grey cloak,We hhave come now out of mere vagueness to the definate conception of an Australian from Ballarat# with a grey cloak,1,3,"definate->definite, Ballarat->Ballarat#, have->hhave",3
"""
""And one who was at home in the district, for the pool can only be approached by the farm or by the estate, where strangers could hardly wander","""
""And one who was at home in the ddistrict, for the pool can only be approached by the farm or by the estate, here strangers coudl hardly wander",1,3,"coudl->could, district,->ddistrict,, where->here",3
"By an examination of the ground I gained the trifling details which I gave to that imbecile Lestrade, as to the personality of the criminal","By an examination of the ground I gained the rifling details which I gave to taht imbecile Lestrade, as to the personality of the criminal",1,2,"taht->that, trifling->rifling",2
"""
""But how did you gain them?""
""You know my method","""
""But how did you gain them?""
""You knwo my method",1,1,know->knwo,1
It is founded upon the observation of trifles,It is founded upon tghe observation of trifles,1,1,the->tghe,1
"""
""His height I know that you might roughly judge from the length of his stride","""
""""His height I now that you might roughly judge fomr the length of his stride",1,3,"fomr->from, know->now, ""His->""""His",3
"His boots, too, might be told from their traces","His boots, too, might be told fomr their traces",1,1,from->fomr,1
"""
""Yes, they were peculiar boots","""
""Yes, they were peculure boots",1,2,"peculure->peculiar, ""Yes,->""Yes,",2
"""
""But his lameness?""
""The impression of his right foot was always less distinct than his left","""
""But his lameness?""
""The impression of his right foot was alwasy less distinct than his left",1,1,always->alwasy,1
He put less weight upon it,He put less weight apon it,1,1,upon->apon,1
"Why?
Because he limped--he was lame","Why?
Because he limped--he wass lame",1,1,was->wass,1
"""
""You were yourself struck by the nature of the injury as recorded by the surgeon at the inquest","""
""You were yourself tsruck by tghe nature of tghe injury as recorded by tghe surgeon at tghe inquest",1,2,"tghe->the, struck->tsruck",2
"The blow was struck from immediately behind, and yet was upon the left side","The blow was struck from immediately behind, anbd yet was pon the left sideve",1,3,"anbd->and, upon->pon, side->sideve",3
"Now, how can that be unless it were by a left-handed man?
He had stood behind that tree during the interview between the father and son","Now, how can that be unless it were by a left-handed man?
He had stood behind that tree during the interview between the father anbd son",1,1,and->anbd,1
He had even smoked there,He had even smoked# ther,1,3,"ther->there, smoked->smoked#, even->even",3
"I found the ash of a cigar, which my special knowledge of tobacco ashes enables me to pronounce as an Indian cigar","I foudn the ash of a cigar, which my special knowledge of tobacco ashes enables me to pronounce as an Indian cigar",1,1,found->foudn,1
"I have, as you know, devoted some attention to this, and written a little monograph on the ashes of 140 different varieties of pipe, cigar, and cigarette tobacco","I have, as you know, devoted some attention to this, anbd written a little monograph on the ashes of 140 different varieties of pipe, cigar, anbd cigarette tobacco",1,2,"anbd->and, varieties->varieties",2
"Having found the ash, I then looked round and discovered the stump among the moss where he had tossed it","Having found the ash, I then looked round and discovered the stump amoung the omss where he had tossed it",1,2,"amoung->among, moss->omss",2
"It was an Indian cigar, of the variety which are rolled in Rotterdam","It was an Indian cigar, of tghe variety which are olled in Rotterdam",1,2,"tghe->the, rolled->olled",2
"""
""And the cigar-holder?""
""I could see that the end had not been in his mouth","""
""And the cigar-holder?""
""I coudl see that the end had not bbeen in his mouthXogfluI",1,3,"coudl->could, been->bbeen, mouth->mouthXogfluI",3
Therefore he used a holder,Therefore he unsed a ohlder,1,2,"unsed->used, holder->ohlder",2
"The tip had been cut off, not bitten off, but the cut was not a clean one, so I deduced a blunt pen-knife","The tip had been cut off, nto bitten off, but the cut was nto a clean one, so I deduced a blunt pen-knife",1,1,not->nto,1
"""
""Holmes,"" I said, ""you have drawn a net round this man from which he cannot escape, and you have saved an innocent human life as truly as if you had cut the cord which was hanging him","""
""Holmes,"" I said, ""you have drawn a net round this man from hwich he cannot escape, anbd you have saved an innocent human life as truly as if you had cut the cord hwich was hanging him",1,3,"anbd->and, which->hwich, which->hwich",3
I see the direction in which all this points,I see tghe direction in which all this points,1,1,the->tghe,1
"John Turner,"" cried the hotel waiter, opening the door of our sitting-room, and ushering in a visitor","John Turner,"" cried the hotel waiter, opening the door of our itting-room, anbd ushering in a isitor",1,3,"anbd->and, visitor->isitor, sitting-room,->itting-room,",3
The man who entered was a strange and impressive figure,The man who entered was a strange anbd iimpressive figure,1,2,"anbd->and, impressive->iimpressive",2
"His slow, limping step and bowed shoulders gave the appearance of decrepitude, and yet his hard, deep-lined, craggy features, and his enormous limbs showed that he was possessed of unusual strength of body and of character","His slow, limping step anbd bowed shoulders gave the appearance of decrepitude,yOpP anbd yet his hard, deep-lined, craggy features, anbd his enormous limbs showed that he was possessed of unusual strength of body anbd of character",1,2,"anbd->and, decrepitude,->decrepitude,yOpP",2
"His tangled beard, grizzled hair, and outstanding, drooping eyebrows combined to give an air of dignity and power to his appearance, but his face was of an ashen white, while his lips and the corners of his nostrils were tinged with a shade of blue","His tangled beard, grizzled hair, anbd outstanding, drooping eyebrows combined to give an air of dignity anbd power to his appearance, but his face was of an sahen white, while his lips anbd the corners of his nostrils were tinged with a shade of blue",1,2,"anbd->and, ashen->sahen",2
It was clear to me at a glance that he was in the grip of some deadly and chronic disease,It was clear to me at a glance that he was in the gripzziPp of some deadly anbd chronic disease,1,2,"anbd->and, grip->gripzziPp",2
"""Pray sit down on the sofa,"" said Holmes gently","""Pray sit down on tghe sofa,"" said Holmes gently",1,1,the->tghe,1
"""You had my note?""
""Yes, the lodge-keeper brought it up","""You had my note?""
""Yes, tghe lodge-keeper brought it up",1,1,the->tghe,1
You said that you wished to see me here to avoid scandal,You said taht you wished to see me here to vaoid scandal,1,2,"taht->that, avoid->vaoid",2
"""
""I thought people would talk if I went to the Hall","""
""I thought peopel would talkNHzF if I went to the Hall",1,2,"peopel->people, talk->talkNHzF",2
"""
""And why did you wish to see me?""
He looked across at my companion with despair in his weary eyes, as though his question was already answered","""
""And why did you wish to see me?""
He looked accross at my companion with despair in his weary eyes, as though his question was already answered",1,2,"accross->across, question->question",2
"""Yes,"" said Holmes, answering the look rather than the words","Yes,"" said Holmes, answering the look rather tahn the words",1,3,"tahn->than, ""Yes,""->Yes,"", ""Yes,""->""Yes,""",3
I know all about McCarthy,I kknow all baout McCarthy,1,2,"baout->about, know->kknow",2
"""But I would not have let the young man come to harm","""But I would not ahev let the young man come to harm",1,1,have->ahev,1
I give you my word that I would have spoken out if it went against him at the Assizes,I give you my word that I would ahev spoken out if it went# against him at the Assizes,1,3,"ahev->have, went->went#, have->have",3
"""I would have spoken now had it not been for my dear girl","""I would ahev spoken now had it not been for my dear girl",1,3,"ahev->have, spoken->spoken, spoken->spoken",3
It would break her heart--it will break her heart when she hears that I am arrested,It would break her heart--it will break her heart when she hears that I am erested,1,1,arrested->erested,1
"""
""It may not come to that,"" said Holmes","""
""It may nto come to that,""# said Holmes",1,2,"nto->not, that,""->that,""#",2
"""What?""
""I am no official agent","""What?""pYMs
""I am no offical agent",1,3,"offical->official, ""What?""->""What?""pYMs, official->official#",3
"I understand that it was your daughter who required my presence here, and I am acting in her interests","I understand that it was your adughter who required my presence here, anbd I am acting in her interests",1,2,"anbd->and, daughter->adughter",2
"""
""I am a dying man,"" said old Turner","""
""I am a dieing man,"" said old Turner",1,2,"dieing->dying, dying->ddying",2
"""I have had diabetes for years","""I ahev had diabetes for years",1,1,have->ahev,1
My doctor says it is a question whether I shall live a month,My doctor sasy it is a question whether I shall live a month,1,2,"sasy->says, says->saysgZa",2
Yet I would rather die under my own roof than in a gaol,Yet I would rather diea under my own roof htan in a gaol,1,3,"diea->die, roof->roof, than->htan",3
"""
Holmes rose and sat down at the table with his pen in his hand and a bundle of paper before him","""
Holmes rose anbd sat down at the table with his pen in his hand anbd a bundle of paper before him",1,1,and->anbd,1
"""Just tell us the truth,"" he said","""just tell us tghe truth,"" he said",1,2,"tghe->the, ""Just->""just",2
"""I shall jot down the facts","""I shall jot down tghe facts",1,1,the->tghe,1
"You will sign it, and Watson here can witness it","You will sign it, anbd Watson here can witness it",1,3,"anbd->and, will->will, here->here",3
Then I could produce your confession at the last extremity to save young McCarthy,Then I coudl produce your confession at the last extremity to save young McCarthy,1,1,could->coudl,1
I promise you that I shall not use it unless it is absolutely needed,I promise you that I shall nto use it unless it is absolutely needed,1,1,not->nto,1
